accession_number,alternate_accession_number,image_file,title,record_type,status,collection_name,location,historical_theme,neighborhood,time_period,people,donor,object_date,format_material,condition,rights_status,sensitivity,is_public,photo_credit,description,significance,provenance,notes,tags,
SRM-2026-402,,coll366.png,"Equal Rights Congress program and documents, July 1977",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,Geographies To Be Confirmed,1970s,,,1977-07,printed congress program and documents,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Program and documents for the Equal Rights Congress, carrying the subtitle Unity Through Action and a July 1977 date with a printed cover price of $1.00.",Documents organized equal-rights advocacy and conference-style political programming in the late 1970s.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/42.png on 2026-07-26. Subtitle,month-year date, and $1.00 cover price confirmed from the image on July 27
SRM-2026-403,,coll367.png,"South Today, January–February 1972",Archive,Needs Review,,Needs Review,Family And Local Life,Atlanta Georgia,1970s,Carolynne Scott,,1972-01/1972-02,printed periodical or newsletter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Issue of South Today: A Digest of Southern Affairs published in Atlanta, Georgia, volume 3, number 6, with the cover story “Honeymoon in City Jail: Atlanta Couple Waits Eight Months for Trial,” by Carolynne Scott.",Documents Southern-affairs journalism that linked local criminal-justice stories to broader regional public discourse in the early 1970s.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/43.png on 2026-07-26. Volume number,Atlanta place line, and cover-story byline confirmed from the image on July 27
SRM-2026-404,,coll368.png,"South Today, November 1973",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,Atlanta Georgia,1970s,F. Ray Marshall; Gwendolyn R. Davis,,1973-11,printed periodical or newsletter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"November 1973 issue of South Today, volume 5, number 3, published in Atlanta, Georgia, announcing the merger of New South and South Today into Southern Voices and featuring articles on a woodcutters’ strike and rural poverty.",Documents Southern political and social-affairs journalism and captures a moment of transition in regional progressive publishing.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/44.png on 2026-07-26. Volume number,merger notice, and article lines including pieces by Gwendolyn R. Davis and Dr. F. Ray Marshall confirmed from the image on July 27
SRM-2026-405,,coll369.png,"The Civil Rights Fight: A Look at the Legislative Record, undated",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,Geographies To Be Confirmed,20th century,,,undated,printed booklet or legislative pamphlet,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Booklet cover printed with the full title The Civil Rights Fight: A Look at the Legislative Record in orange type over black-and-white horizontal bands.,Documents efforts to frame civil-rights struggles through legislative history and public-facing political print culture.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/45.png on 2026-07-26. Full subtitle visually confirmed from the cover image on July 27,2026.,"The Civil Rights Fight: A Look at the Legislative Record, undated; Civil Rights and Citizenship; Geographies To Be Confirmed; legislative record"
SRM-2026-406,,coll370.png,"New South, April 1964",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,Geographies To Be Confirmed,1960s,,,1964-04,printed periodical or newsletter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,April 1964 issue of New South featuring the cover line “Six Years of Southern Free Choice.”,Documents civil-rights-era Southern commentary and preserves reform language around freedom-of-choice politics in the region.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/46.png on 2026-07-26. Month-year date and cover line visually confirmed from the image on July 27,2026.,"New South, April 1964; Civil Rights and Citizenship; Geographies To Be Confirmed; Southern Free Choice"
SRM-2026-407,,coll371.png,"The Little Black Book, 1977–1978",Archive,Needs Review,,Needs Review,Civic Leadership,Geographies To Be Confirmed,1970s,,,1977–1978,printed directory or pocket reference book,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Edition no. 4 of The Little Black Book for 1977–78, priced at $1.00 and designed with a red, black, and green cover evoking Pan-African colors.",Documents Black reference publishing, directory culture, and portable community information resources in the late 1970s.,Imported from the Stumps folder on July 26; 2026; provenance to be confirmed.,Imported from /Users/Birittany/Downloads/Stumps/47.png on 2026-07-26. Edition number and $1.00 price visually confirmed from the cover image on July 27
SRM-2026-408,,coll372.png,"Mississippi: Subversion of the Right to Vote, undated",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,Statewide Mississippi,20th century,,,undated,printed voting-rights booklet,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Booklet titled Mississippi: Subversion of the Right to Vote, with a cover image of the Statue of Liberty raising a dark wreath or torn object.",Documents movement education and critique of voting-rights suppression in Mississippi through activist print culture.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/48.png on 2026-07-26. Full title visually confirmed from the cover image on July 27,2026.,"Mississippi: Subversion of the Right to Vote, undated; Civil Rights and Citizenship; Statewide Mississippi; voting rights; booklet"
SRM-2026-409,,coll373.png,"Mississippi voting-rights booklet interior, undated",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,Atlanta Georgia,20th century,Harold Cox; James O. Eastland,,undated,printed voting-rights booklet interior pages,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Interior pages from a voting-rights booklet citing Article 3, Section 5 of the Mississippi Constitution, quoting a March 9, 1964 New York Times item about Federal District Judge Harold Cox and Black voter applicants in Canton, and reproducing a segregationist statement by United States Senator James O. Eastland. The booklet identifies the Student Nonviolent Coordinating Committee at 6 Raymond Street N.W., Atlanta, Georgia 30314.",Documents activist argumentation against voter suppression in Mississippi and links the material directly to SNCC’s Atlanta office and civil-rights organizing networks.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/49.png on 2026-07-26. SNCC address,constitutional citation, Judge Harold Cox reference
SRM-2026-410,,coll374.png,"Woman entering the Leflore County Courthouse, undated",Photograph,Needs Review,,Needs Review,Civil Rights and Citizenship,Geographies To Be Confirmed,20th century,,,undated,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Black-and-white photograph captioned “Elderly lady enters Leflore County courthouse in Greenwood to attempt to register to vote.”,Provides visual documentation related to woman entering the leflore county courthouse and supports interpretation of civil rights and citizenship.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/50.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Woman entering the Leflore County Courthouse; undated; Civil Rights and Citizenship; Geographies To Be Confirmed,
SRM-2026-411,,coll375.png,"Registrar’s office, Forrest County Courthouse, Hattiesburg, undated",Photograph,Needs Review,,Needs Review,Civil Rights and Citizenship,Geographies To Be Confirmed,20th century,,,undated,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Black-and-white photograph of the courthouse office and a posted voter-registration notice.,"Provides visual documentation related to registrar’s office, forrest county courthouse, hattiesburg and supports interpretation of civil rights and citizenship.","Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/51.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Registrar’s office; Forrest County Courthouse; Hattiesburg; undated; Civil Rights and Citizenship; Geographies To Be Confirmed,
SRM-2026-412,,coll376.png,"How Is Your Mental Health?, August 14, 1943",Archive,Needs Review,,Needs Review,Material Culture and Interpretation,Washington D.C.,1940s,,,1943-08-14,war-department health pamphlet,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Pamphlet titled How Is Your Mental Health? Are You in Step with Normal Living?, issued by the Office of the Secretary of War, Civilian Medical Division, as Health Message No. 8 on August 14, 1943.",Documents wartime public-health messaging and federal instructional print culture during World War II.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/52.png on 2026-07-26. Issuing office,series number, and full subtitle visually confirmed from the cover image on July 27
SRM-2026-413,,coll377.png,"Street Talk, February 1979",Archive,Needs Review,,Needs Review,Family And Local Life,Geographies To Be Confirmed,1970s,,,1979-02,paper-based archival material,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"February 1979 issue of Street Talk, volume 1, number 3, priced at 75 cents and featuring the headline “Couple Held in Murder of Baby.”",Documents small-format local tabloid publishing and the presentation of crime news in late-1970s Black community print culture.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/53.png on 2026-07-26. Volume number,issue number, and 75-cent cover price visually confirmed from the image on July 27
SRM-2026-414,,coll378.png,"Street Talk, May 1979",Photograph,Needs Review,,Needs Review,Material Culture and Interpretation,Geographies To Be Confirmed,1970s,,,1979,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Volume 1, number 6, with a cover photograph of actress Marla Gibbs and the headlines “Double Murder” and “Street Queen Killed.”","Provides visual documentation related to street talk, may 1979 and supports interpretation of material culture and interpretation.","Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/54.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Street Talk; May 1979; Material Culture and Interpretation; Geographies To Be Confirmed,
SRM-2026-415,,coll379.png,"The South of the Near Future, May 1980",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,Atlanta Georgia,1980s,Leslie W. Dunbar,,1980-05,printed policy publication or booklet,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Publication by Leslie W. Dunbar titled The South of the Near Future, issued by the Southern Center for Studies in Public Policy at Clark College, 240 Chestnut Street S.W., Atlanta, Georgia 30314, in May 1980.",Documents forward-looking Southern policy analysis and ties the publication to Atlanta-based Black higher education and public-policy discourse.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/55.png on 2026-07-26. Author,issuing center, Clark College address
SRM-2026-416,,coll380.png,"Outlook featuring Ruby Shearry, March 1976",Archive,Needs Review,,Needs Review,Civic Leadership,Hinds County,1970s,Ruby Shearry; James H. Meredith,,1976-03,printed magazine cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Cover of Outlook magazine, volume 3, number 5, March 1976, featuring Ruby Shearry and identifying her as the first Black woman employed as a Hinds County chancery clerk. The issue is marked as a Meredith publication and priced at 60 cents.",Documents a Jackson-based Black periodical highlighting local political and professional leadership through a feature on Ruby Shearry.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/56.png on 2026-07-26. Cover text,volume number, date
SRM-2026-417,,coll381.png,"Outlook: Neta Baker's $70,000 Home Burned to the Ground - Arson, February 1976",Archive,Needs Review,,Needs Review,Civic Leadership,Jackson,1970s,Neta Baker; James H. Meredith,,1976-02,printed magazine cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Cover of Outlook magazine, volume 3, number 4, February 1976, reporting the destruction of nightclub operator Neta Baker's home under the headline Neta Baker's $70,000 Home Burned to the Ground - Arson. The issue is marked as a Meredith publication and priced at 60 cents.",Documents Black press coverage of a prominent Jackson business figure and the destruction of her home in a locally published magazine.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/57.png on 2026-07-26. Headline,date, volume number
SRM-2026-418,,coll382.png,"Outlook: Million Dollar Monkey on My Back!!!, October 1976",Archive,Needs Review,,Needs Review,Black Health and Medicine,Jackson,1970s,Oscar Curley McClure; James H. Meredith,,1976-10,printed magazine cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Cover of Outlook magazine, volume 3, number 12, October 1976, featuring the headline Million Dollar Monkey on My Back!!! and a portrait caption identifying Oscar Curley McClure. The issue is marked as a Meredith publication and priced at 60 cents.",Documents Black community print culture addressing addiction and personal struggle through a feature centered on Oscar Curley McClure.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/58.png on 2026-07-26. Headline,subject name, date
SRM-2026-419,,coll383.png,"Outlook featuring Roxie Patterson Meredith Weatherly, November 1976",Archive,Needs Review,,Needs Review,Family And Local Life,Statewide Mississippi,1970s,Roxie Patterson Meredith Weatherly; James Meredith; James H. Meredith,,1976-11,printed magazine cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Cover of Outlook magazine, volume 4, number 1, November 1976, bearing the headline James H Meredith's Mother Gets Married and Leaves Mississippi and a portrait caption identifying Mrs. Roxie Patterson Meredith Weatherly. The issue is marked as a Meredith publication and priced at 60 cents.",Documents family history linked to James Meredith and shows how Black-owned periodicals framed personal and community news.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/59.png on 2026-07-26. Headline,subject name, date
SRM-2026-420,,coll384.png,"Outlook Magazine: Blacks Lose Land / 40 Acres and a Mule / Black Farmers in Trouble, December 1978",Archive,Needs Review,,Needs Review,Agriculture and Labor,Statewide Mississippi,1970s,,,1978-12,printed magazine cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Cover of Outlook Magazine, volume 6, number 2, December 1978, featuring the headlines Blacks Lose Land, 40 Acres and a Mule, and Black Farmers in Trouble. The cover price is 75 cents.",Documents Black rural land loss and agricultural crisis through a late-1970s magazine issue focused on Black farmers.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/60.png on 2026-07-26. Cover date,volume number, price
SRM-2026-421,,coll385.png,"Excel, 1982–1983",Archive,Needs Review,,Needs Review,Civic Leadership,Geographies To Be Confirmed,1980s,Janie Sykes-Kennedy,,1982–1983,printed directory or achievement compendium,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Cover of Excel 1982–1983 by Janie Sykes-Kennedy, subtitled Excellence in Black Organizations and Black Achievers and illustrated with paired portrait medallions.",Documents Black achievement publishing and the circulation of biographical and organizational recognition in the early 1980s.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/61.png on 2026-07-26. Author name on the cover reads Janie Sykes-Kennedy; subtitle and date visually confirmed from the image on July 27,2026.,"Excel, 1982–1983; Civic Leadership; Geographies To Be Confirmed; Janie Sykes-Kennedy; Black achievers"
SRM-2026-422,,coll386.png,"Rough Riding Down South, 1968",Archive,Needs Review,,Needs Review,Material Culture and Interpretation,Hattiesburg Mississippi,1960s,J. F. H. Claiborne,,1968,printed book or literary publication,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Rough Riding Down South by J. F. H. Claiborne, published in Hattiesburg by the University of Southern Mississippi in 1968. An interior page notes that 1,000 copies were printed with support from the Friends of the University, the Committee for the Southern Fellowship, the L. O. Crosby Jr. Memorial Lectureship in Mississippi Culture, and The Pine Woods: A Biennial Perspective.",Documents Mississippi literary and regional-history publishing and preserves visible evidence of its local sponsorship and limited print run.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/62.png on 2026-07-26. Hattiesburg imprint,1968 date, and interior sponsorship statement visually confirmed from the image on July 27
SRM-2026-423,,coll387.png,"Annual Athletic and Literary Tournament souvenir program, March 10, 1939",Archive,Needs Review,,Needs Review,African American Education,Drew Mississippi,1930s,,,1939-03-10,printed souvenir program,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Souvenir program for the Annual Athletic and Literary Tournament of the Third District Association of Teachers in Colored Schools, held Friday, March 10, 1939, at Drew Colored Schools in Drew, Mississippi.",Documents organized scholastic competition in segregated Black education and preserves the institutional culture of teachers’ associations and student tournaments in Mississippi.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/63.png on 2026-07-26. Full event title,Third District wording, exact date
SRM-2026-424,,coll388.png,"Unidentified musician performing, undated",Photograph,Needs Review,,Needs Review,Arts And Culture,Geographies To Be Confirmed,20th century,,,undated,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Blue-toned photograph of a man holding a guitar and singing or speaking into a microphone with his eyes closed.,Provides visual documentation related to unidentified musician performing and supports interpretation of arts and culture.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/64.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Unidentified musician performing; undated; Arts And Culture; Geographies To Be Confirmed,
SRM-2026-425,,coll389.png,"Tougaloo College presentation folder, undated",Archive,Needs Review,,Needs Review,African American Education,Tougaloo Mississippi,20th century,,,undated,college presentation folder or institutional cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Presentation folder bearing the seal of Tougaloo College, including the words “A.M.A.” and “U.C.M.S.,” the founding date 1869, and the place line “Tougaloo, Miss.”",Documents college branding and institutional identity associated with Tougaloo College in Mississippi.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/65.png on 2026-07-26. Seal details,1869 founding date, and Tougaloo
SRM-2026-426,,coll390.png,"Black Perspectives on the Bicentennial: The Struggle for Equality of Educational Opportunity, undated",Archive,Needs Review,,Needs Review,African American Education,Geographies To Be Confirmed,20th century,,,undated,printed educational advocacy publication,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Publication titled Black Perspectives on the Bicentennial: The Struggle for Equality of Educational Opportunity, identified on the cover as a publication of the National Urban League, Inc.",Documents Black educational advocacy and Bicentennial-era interpretive publishing centered on equal opportunity.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/66.png on 2026-07-26. Full title and National Urban League publication line visually confirmed from the cover image on July 27,2026.,"Black Perspectives on the Bicentennial: The Struggle for Equality of Educational Opportunity, undated; African American Education; Geographies To Be Confirmed; National Urban League"
SRM-2026-427,,coll391.png,"Hi-Ho composition book with classroom fundraising note, undated",Artifact,Needs Review,,Needs Review,African American Education,Geographies To Be Confirmed,20th century,,,undated,paper booklet or notebook,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Worn 200-page composition book accompanied by a handwritten appeal seeking assistance to equip a fifth- and sixth-grade classroom.,Documents material culture related to hi-ho composition book with classroom fundraising note and supports interpretation of african american education.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/67.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Hi-Ho composition book with classroom fundraising note; undated; African American Education; Geographies To Be Confirmed,
SRM-2026-428,,coll392.png,"Focus, May 1980",Archive,Needs Review,,Needs Review,Civil Rights and Citizenship,Washington D.C.,1980s,,,1980-05,printed magazine cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Cover of Focus, volume 8, number 5, May 1980, published by the Joint Center for Political Studies and featuring the cover line Impact of the Supreme Court Ruling on At-Large Elections.",Documents Black political analysis of voting representation and election law through a national policy publication.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/68.png on 2026-07-26. Corrected the year to 1980 from the cover image; publication title,volume number, and Joint Center for Political Studies line visually reviewed on July 27
SRM-2026-429,,coll393.png,"Afro-American Songs and Dances research cards, undated",Artifact,Needs Review,,Needs Review,Arts And Culture,Geographies To Be Confirmed,20th century,,,undated,typed or handwritten paper document,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Envelope and handwritten index cards listing songs, dances, recordings, and related dates.",Documents material culture related to afro-american songs and dances research cards and supports interpretation of arts and culture.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/69.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Afro-American Songs and Dances research cards; undated; Arts And Culture; Geographies To Be Confirmed,
SRM-2026-430,,coll394.png,"Interior of an unidentified general store, undated",Photograph,Needs Review,,Needs Review,Material Culture and Interpretation,Geographies To Be Confirmed,20th century,,,undated,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Black-and-white photograph of two men and a child inside a store containing display cases, shelves, packaged goods, and merchandise.",Provides visual documentation related to interior of an unidentified general store and supports interpretation of material culture and interpretation.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/70.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,Interior of an unidentified general store; undated; Material Culture and Interpretation; Geographies To Be Confirmed,
SRM-2026-431,,coll395.png,"Those Who Stayed Home During the Great Migration symposium program, September 14-15, 1989",Archive,Needs Review,,Needs Review,Migration And Memory,Jackson,1980s,,,1989-09-14,printed symposium program,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Program for a national symposium titled Those Who Stayed Home During the Great Migration, held September 14-15, 1989, at Jackson State University in Jackson, Mississippi.",Documents scholarly and public interpretation of the Great Migration by centering the experiences of Black Southerners who remained in place.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/71.png on 2026-07-26. Corrected the year from 1999 to 1989 from the cover image; site and title visually reviewed on July 27,2026.,"Those Who Stayed Home During the Great Migration symposium program, September 14-15, 1989; Migration And Memory; Jackson; Jackson State University; Great Migration"
SRM-2026-432,,coll396.png,"St. Joseph’s Book of Facts, undated",Archive,Needs Review,,Needs Review,Material Culture and Interpretation,Geographies To Be Confirmed,20th century,,,undated,printed booklet with string binding,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Illustrated booklet titled St. Joseph’s Book of Facts, with a cord or string binding at the upper left and a cover drawing of three women in conversation.",Documents everyday printed reference culture and restores the full title of a previously truncated record.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/72.png on 2026-07-26. Full title visually confirmed from the cover image on July 27,2026.,"St. Joseph’s Book of Facts, undated; Material Culture and Interpretation; Geographies To Be Confirmed; booklet"
SRM-2026-433,,coll397.png,"Service, September 1943",Archive,Needs Review,,Needs Review,Military Service,United States,1940s,,,1943-09,printed magazine cover,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Cover of Service magazine dated September 1943 and priced at 20 cents, featuring a wartime illustration with the caption C.T.D. Going to Class.",Documents wartime educational and training culture through a mid-1943 magazine cover aimed at service members.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/73.png on 2026-07-26. Cover title,date, price
SRM-2026-434,,coll398.png,"Arithmetic for Soldiers, 1942",Archive,Needs Review,,Needs Review,Military Service,United States,1940s,,,1942,printed instructional booklet,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Instructional page from Arithmetic for Soldiers illustrating how a soldier uses arithmetic in the Army through cartoon scenes and explanatory text.,Documents military training materials and shows how numeracy was taught through practical Army scenarios during World War II.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/74.png on 2026-07-26. Interior page text including A Soldier Uses Arithmetic in the Army visually reviewed from the image on July 27,2026.,"Arithmetic for Soldiers, 1942; Military Service; United States; Army training"
SRM-2026-435,,coll399.png,"Letter from Research Hospital to Sadie Poole, October 15, 1938",Archive,Needs Review,,Needs Review,Midwives and Motherhood,Little Rock,1930s,Sadie Poole; L. L. Marshall; Lena Jordan,,1938-10-15,typed letter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Typed letter on Research Hospital, Inc. letterhead at 820 W. 14th Street, Little Rock, Arkansas, addressed to Mrs. Sadie Poole of Louise, Mississippi. Signed by L. L. Marshall, M.D., the letter states that Research Hospital does not handle Black patients and instead directs her to Lena Jordan Hospital.",Documents racial discrimination in medical access and preserves a stark written example of segregated hospital policy in 1938.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/75.png on 2026-07-26. Hospital letterhead,date, recipient address
SRM-2026-436,,coll400.png,"Alcorn Agricultural and Mechanical College examination books, 1937 and 1940",Archive,Needs Review,,Needs Review,African American Education,Alcorn,1930s-1940s,Sadie L. Poole,,1937; 1940,student examination booklets,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Two examination booklets from Alcorn Agricultural and Mechanical College with handwritten student entries for Sadie L. Poole. One is dated June 23, 1937, for Geography S.A.I.; the other is dated June 19, 1940, for English S.B.I.",Documents Black higher education coursework and preserves named student examination materials from Alcorn in the late 1930s and 1940.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/76.png on 2026-07-26. Student name,dates, course labels
SRM-2026-437,,coll401.png,"Application for a teaching position, April 17, 1941",Archive,Needs Review,,Needs Review,African American Education,Jackson,1940s,David Roberson,,1941-04-17,typed letter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Typed letter dated April 17, 1941, from Jackson, Mississippi, to Mr. David Roberson of Monticello, Mississippi, seeking reappointment as a teacher. The return address reads 1050 Hickory Street, Jackson, Mississippi.",Documents Black professional correspondence around school employment and teacher reappointment in Mississippi.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/77.png on 2026-07-26. Dateline,addressee, and return address visually reviewed from the image on July 27
SRM-2026-438,,coll402.png,"First-grade class at the zoo, 1961",Photograph,Needs Review,,Needs Review,African American Education,Geographies To Be Confirmed,1960s,,,1961,photographic print or reproduction,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,Group photograph of children and two adults at a zoo; an accompanying note reads “Christa B. Hudson / Florence Aaron / 1961 / First Graders.”,Provides visual documentation related to first-grade class at the zoo and supports interpretation of african american education.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/78.png on 2026-07-26. Source description from pasted-text.txt. OCR not finalized; review image text for additional detail where applicable.,First-grade class at the zoo; 1961; African American Education; Geographies To Be Confirmed,
SRM-2026-439,,coll403.png,"A Tribute To Mrs. Theressa Ruth Garrett Almore, 1907-1991",Archive,Needs Review,,Needs Review,Faith And Community Life,Jackson,1900s-1990s,Theressa Ruth Garrett Almore; Johnny Barbour Jr.,,1991-01-12,funeral program,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Funeral program titled A Tribute To Mrs. Theressa Ruth Garrett Almore, 1907-1991, for services held at 11:00 a.m. on Saturday, January 12, 1991, at Pearl Street African Methodist Episcopal Church, 2519 Robinson Street, Jackson, Mississippi, with Reverend Dr. Johnny Barbour Jr. presiding.",Documents Black church memorial practice in Jackson and preserves a named funeral program for Theressa Ruth Garrett Almore.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/79.png on 2026-07-26. Cover title,service date, church name
SRM-2026-440,,coll404.png,"Rust College Alumni Newsletter, February 1981",Archive,Needs Review,,Needs Review,African American Education,Holly Springs,1980s,,,1981-02,alumni newsletter,Needs Review,Rights Unknown,Review Before Public Display,TRUE,,"Rust College Alumni Newsletter, number 8, dated February 1981, presenting the tentative schedule for Alumni Weekend on May 8-10, 1981.",Documents alumni communication and event planning at Rust College in the early 1980s.,"Imported from the Stumps folder on July 26, 2026; provenance to be confirmed.",Imported from /Users/Birittany/Downloads/Stumps/80.png on 2026-07-26. Newsletter title,issue number, date
