priority,accession_number,title,record_type,historical_theme,collection_name,people,object_date,donor,neighborhood,rights_status,observation_reasons,notes
medium,SRM-2026-479,"Women in Dentistry, Alpha Kappa Alpha Heritage Series No. 5, 1972",Archive,Black Health and Medicine,,,1972,,Geographies To Be Confirmed,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/7.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-480,Mini guide for volunteers for Field to Factory: Afro-American Migration 1915-1940,Archive,Migration And Memory,,,undated,,Statewide Mississippi,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/8.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-481,"Our People dinner theatre program, September 15, 1989",Archive,Arts And Culture,,Malena W. Dow; Hollis Pippin,1989-09-15,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/9.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-482,"Forums and a symposium on The Impact of Black Migration from the Rural South to the Urban North, 1915 to the Present, Attachment A",Archive,Migration And Memory,,Spencer Crew; Charles Sallis; Dernoral Davis; John Lewis,1988-1989,,Statewide Mississippi,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/10.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-483,"Field to Factory exhibition program, November 6, 1988",Archive,Migration And Memory,,Spencer Crew,1988-11-06,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/11.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-484,"Field to Factory study guide for the exhibition, undated",Archive,Migration And Memory,,,undated,,Statewide Mississippi,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/12.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-485,"Adam Clayton Powell report on the Asia-Africa Conference, July 26, 1955",Archive,Civic Leadership,,Adam Clayton Powell,1955-07-26,,"Los Angeles, California",Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/13.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-486,"Typed planning document related to Black migration forums, undated",Archive,Migration And Memory,,,undated,,Statewide Mississippi,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/14.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-487,"Black and White: The Art of H. J. Lewis, undated",Archive,Arts And Culture,,H. J. Lewis,undated,,"Pine Bluff, Arkansas",Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/15.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-489,"Jimmie Dale Law in striped jacket with first grade class, undated",Photograph,African American Education,,Vertilla F. Anderson; Jimmie Dale Law,undated,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/17.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-490,"Smith Robertson teachers, March 1958",Photograph,African American Education,,Verna Anderson; Eunice Jackson; Christa Hudson; Florence Aaron,1958-03,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/18.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-494,"Smith Robertson teachers group, March 1958",Photograph,African American Education,,Verna Anderson; Pearl Allen; Christa Hudson; Jimmye J. Bailey; Florence Aaron,1958-03,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/22.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-495,"Vertilla F. Anderson and first graders outside school, undated",Photograph,African American Education,,Vertilla F. Anderson,undated,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/23.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-497,"Vertilla F. Anderson first grade classroom, undated",Photograph,African American Education,,Vertilla F. Anderson,undated,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/25.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-498,"Teachers Vertilla Friar Anderson and Jimmye J. Bailey, undated",Photograph,African American Education,,Vertilla Friar Anderson; Jimmye J. Bailey,undated,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/26.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-500,"Fourth grade class, 1953",Photograph,African American Education,,,1953,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/28.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-501,"Smith Robertson class trip scene at the airport, undated",Photograph,African American Education,,,undated,,Geographies To Be Confirmed,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/29.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-503,"At the airport with Clara Caston, Christa Hudson, Florence Aaron, Vertilla F. Anderson, and children, undated",Photograph,African American Education,,Clara Caston; Christa Hudson; Florence Aaron; Vertilla F. Anderson,undated,,Geographies To Be Confirmed,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/31.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-504,"Smith Robertson first graders, undated",Photograph,African American Education,,Vertilla F. Anderson,undated,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/32.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-505,"Martin Luther King Jr. memorial gathering at Smith Robertson, undated",Photograph,Civil Rights and Citizenship,,Martin Luther King Jr.,undated,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/33.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-506,"Womanpower and the Jackson Movement, undated",Archive,Civil Rights and Citizenship,,,undated,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/34.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-507,"National Lawyers Guild letter on legal assistance in Mississippi, undated",Archive,Civil Rights and Citizenship,,George W. Crockett Jr.,undated,,Farish Street,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/35.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-508,"Guide to Subversive Organizations and Publications with National Lawyers Guild annotations, 1961",Archive,Civil Rights and Citizenship,,National Lawyers Guild,1961-12,,Statewide Mississippi,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/36.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-510,"Biographical page on Dr. S. A. Miller and Mrs. L. F. Miller, M.D., undated",Archive,Black Health and Medicine,,S. Albert Miller; Lucille F. Miller,undated,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/38.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-511,"Jackson State University support letter for Smith Robertson museum development, February 1, 1984",Archive,Community and Professional Life,,John A. Peoples Jr.; Cora Norman,1984-02-01,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/39.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-513,"Arthur Hall Afro-American Dance Ensemble program, undated",Archive,Arts And Culture,,Arthur Hall,undated,,Geographies To Be Confirmed,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/41.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-514,"Lanier High School Class of 1944 fiftieth graduation anniversary program, June 24-26, 1994",Archive,African American Education,,,1994-06-24/1994-06-26,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/42.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-515,"Lanier and Jim Hill 1953 class reunion booklet, undated",Archive,African American Education,,,undated,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/43.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-516,"Tougaloo Southern News, January 1959",Archive,African American Education,,,1959-01,,Tougaloo,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/44.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-517,"The thirtieth year reunion of the Lanier High School class of 1954, July 6-7, 1984",Archive,African American Education,,,1984-07-06/1984-07-07,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/45.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-518,"Tougaloo News college magazine, July 1984",Archive,African American Education,,,1984-07,,Tougaloo,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/46.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-519,"Lanier High School Class of 1941 reunion program, September 19-21, 1986",Archive,African American Education,,,1986-09-19/1986-09-21,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/47.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-520,"Lanier High School Class of 1949 reunion program, July 20-22, 1984",Archive,African American Education,,,1984-07-20/1984-07-22,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/48.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-521,"Typed historical commentary on Montgomery and the Mississippi constitution of 1890, undated",Archive,Civil Rights and Citizenship,,Montgomery,undated,,Statewide Mississippi,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/49.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-522,"Lanier Class of 1947 thirty-seventh anniversary reunion program, July 27-29, 1984",Archive,African American Education,,,1984-07-27/1984-07-29,,Downtown Jackson,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/50.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-523,"The Mississippi Panel Exhibit brochure, 1997-1999",Archive,Arts And Culture,,Roland L. Freeman,1997-1999,,Statewide Mississippi,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/51.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-524,Emergency School Aid Act of 1970 hearings extract,Archive,African American Education,,,1970,,National,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/52.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-526,"SCAASI Southern Conference on Afro-American Studies general convention program, 1983",Archive,African American Education,,,1983,,Tougaloo,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/54.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-527,"NAACP v. Claiborne Hardware Company respondents’ brief in opposition, October 15, 1981",Archive,Civil Rights and Citizenship,,NAACP,1981-10-15,,Statewide Mississippi,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/55.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-528,"America’s Stake in Human Rights, September 1949",Archive,Civil Rights and Citizenship,,Ryland W. Crary; John T. Robinson,1949-09,,National,Rights Unknown,Missing donor; Condition still marked Needs Review; Status still marked Needs Review; Rights status needs normalization: Rights Unknown; No collection name assigned,"Imported from /Users/Birittany/Downloads/SRM (1)/56.png on 2026-07-27. Metadata drawn from visual review of the image on July 27, 2026."
medium,SRM-2026-775,"Lawrence A. Jones, Margaret Burroughs, and Karl Griffin seated together, undated",Photograph,Arts And Culture,,Lawrence A. Jones; Margaret Burroughs; Karl Griffin,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/1.png on 2026-08-05."
medium,SRM-2026-776,"Community meeting around a conference table, undated",Photograph,Community and Professional Life,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/2.png on 2026-08-05."
medium,SRM-2026-778,"Typing classroom with students at typewriters, undated",Photograph,African American Education,,,undated,Piney Woods School,,"Rights reserved, contact Smith Robertson",Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/4.png on 2026-08-05. Legacy accession label visible in image: 83.13.11. Alternate accession corrected from an earlier reading on August 6, 2026."
medium,SRM-2026-779,"House and parked car, undated",Photograph,Family And Local Life,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/5.png on 2026-08-05."
medium,SRM-2026-782,"House doorway with wooden porch, undated",Photograph,Family And Local Life,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/8.png on 2026-08-05."
medium,SRM-2026-784,"Charles H. Wilson posed in front of the school with students, undated",Photograph,African American Education,,Charles H. Wilson,undated,Ada Wilson,,"Rights reserved, contact Smith Robertson",Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/10.png on 2026-08-05. Legacy accession label visible in image: 83.15.7. Identification and donor context supplied on August 6, 2026."
medium,SRM-2026-788,"YWCA branch leadership group seated around a table, 1940s or 1950s",Photograph,Civic Leadership,,,1940s or 1950s,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/15.png on 2026-08-05. Handwritten note identifies the scene as a YWCA branch leadership or management committee photograph and lists several women by name and role."
medium,SRM-2026-789,"Baseball players behind a chain-link fence, undated",Photograph,African American Education,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/16.png on 2026-08-05."
medium,SRM-2026-791,"Outdoor labor or logging scene, undated",Photograph,Community and Professional Life,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/19.png on 2026-08-05."
medium,SRM-2026-792,"Figure standing in a field, undated",Photograph,Family And Local Life,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/20.png on 2026-08-05."
medium,SRM-2026-793,"Printed portrait of Richmond Barthe, undated",Archive,Arts And Culture,,Richmond Barthe,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/21.png on 2026-08-05. Printed caption identifies the subject as Richmond Barthe."
medium,SRM-2026-794,"Printed portrait of Mary Leontyne Price, undated",Archive,Arts And Culture,,Mary Leontyne Price,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/22.png on 2026-08-05. Printed caption identifies the subject as Mary Leontyne Price."
medium,SRM-2026-795,"Cooperative worker sewing stuffed dolls at Rose Hill near Lexington, undated",Photograph,Community and Professional Life,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/23.png on 2026-08-05. Handwritten note reads: ""Coop worker at Rose Hill nr. Lexington."""
medium,SRM-2026-797,"Southern Changes, October-November 1978",Archive,Civil Rights and Citizenship,,,October-November 1978,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/25.png on 2026-08-05. Cover lines visible in image: ""The Courtesy of Becoming a Federal Judge,"" ""Vivian Malone Jones and the VEP,"" and ""ERA and the Southern Black Woman."""
medium,SRM-2026-798,"Groundbreaking of a church on Farish Street, undated",Photograph,Community and Professional Life,,,undated,,Farish Street,"Rights reserved, contact Smith Robertson",Missing donor; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/26.png on 2026-08-05. On-image caption reads ""Groundbreaking of a Church on Farish St."""
medium,SRM-2026-799,"Learning to Sew, William Johnson Center, Jackson, Mississippi, undated",Photograph,African American Education,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/28.png on 2026-08-05. Printed caption at lower edge reads ""Learning to Sew"" and ""William Johnson Center, Jackson, Miss."""
medium,SRM-2026-800,"Classroom or workshop scene with seated participants, undated",Photograph,African American Education,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/29.png on 2026-08-05."
medium,SRM-2026-801,"Printed portrait of William Grant Still, undated",Archive,Arts And Culture,,William Grant Still,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/30.png on 2026-08-05."
medium,SRM-2026-802,"Printed portrait of Robert Earl Jones, undated",Archive,Arts And Culture,,Robert Earl Jones,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/31.png on 2026-08-05."
medium,SRM-2026-803,"Printed portrait of Richmond Barthe, variant view, undated",Archive,Arts And Culture,,Richmond Barthe,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/32.png on 2026-08-05."
medium,SRM-2026-804,"Advertising fan for OJ's Beauty Lotion and Coal Roller Pills, undated",Artifact,Community and Professional Life,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/33.png on 2026-08-05."
medium,SRM-2026-805,"Smith Robertson School building facade, undated",Photograph,African American Education,,,undated,,Smith Robertson Campus,"Rights reserved, contact Smith Robertson",Missing donor; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/34.png on 2026-08-05."
medium,SRM-2026-806,"Conic's Beauty-Barber Supply storefront, undated",Photograph,Community and Professional Life,,,undated,,Farish Street,"Rights reserved, contact Smith Robertson",Missing donor; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/38.png on 2026-08-05. Window signage reads ""Conic's Beauty-Barber Supply."""
medium,SRM-2026-807,"Sports pin awarded to Prof. Luther Marshall, undated",Artifact,African American Education,,Luther Marshall,undated,Mrs. Esther Marshall,,"Rights reserved, contact Smith Robertson",Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/47.png on 2026-08-05. Typed label on ribbon reads ""Luther Marshall."" Legacy accession label visible in image: 84.17.6. Donor context supplied on August 6, 2026."
medium,SRM-2026-808,"WWII unit portrait identified with Marcus Greer at far left, 1940s",Photograph,Community and Professional Life,WWII Soldiers Collection,Marcus Greer,1940s,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/48.png on 2026-08-05. Handwritten note reads ""Marcus Greer's Unit,"" ""WWII,"" and ""Marcus standing extreme left."""
medium,SRM-2026-822,"Color portrait of Fred Scott in uniform, undated",Photograph,Portraiture and Community Memory,WWII Soldiers Collection,Fred Scott,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/65.png on 2026-08-05."
medium,SRM-2026-825,"Photo of Rev. J. V. Johnson with poem on the back, undated",Photograph,Civic Leadership,,Rev. J. V. Johnson,undated,Ian Tomlin,,"Rights reserved, contact Smith Robertson",Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/68.png on 2026-08-05. Legacy accession label visible in image: 86.17.39. Earlier note recorded an accompanying card credited to Bishop J. E. V. Johnson; title and donor refined on August 6, 2026."
medium,SRM-2026-826,"Fraternal lodge officers posed in ceremonial regalia, undated",Photograph,Civic Leadership,,,undated,,,"Rights reserved, contact Smith Robertson",Missing donor; Missing neighborhood/geography detail; Condition still marked Needs Review; Status still marked Needs Review; No collection name assigned,"Imported from /Users/Birittany/Downloads/Lawrence A Jones, Margaret Burroughs, Karl Griffin/70.png on 2026-08-05."
